# File Name: Holy-Bible---Holy-Bible---French---French-Crampon-Bible---Analysis.txt
# File Size: 51684       
# File Date: 03/21/2026 12:46:51
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: La Bible Augustin Crampon
# Bible Name English: Augustin Crampon Bible
# Bible Language: Français
# Bible Language English: French
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2026
# Bible Copyright Text: Public Domain
# Bible Source: Catholic translation of Canon Augustin Crampon
# Bible Source Version: 3/10/2026
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=FreCrampon
# Bible Source Year: 1923
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
French---French-Crampon-Bible	ENCODING	Source	Holy-Bible---French---French-Crampon-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
French---French-Crampon-Bible	ENCODING	Aionian	Holy-Bible---French---French-Crampon-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
French---French-Crampon-Bible	BYTES	Source	bytes / chars	9885381 / 9591967 (multi-byte)	NOTICE
French---French-Crampon-Bible	BYTES	Aionian	bytes / chars	4845824 / 4637043 (multi-byte)	NOTICE
French---French-Crampon-Bible	BYTES	SourceClean	bytes / chars	5587077 / 5293663 (multi-byte)	NOTICE
French---French-Crampon-Bible	BYTES	AionianClean	bytes / chars	4842284 / 4633526 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
French---French-Crampon-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
French---French-Crampon-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
French---French-Crampon-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
French---French-Crampon-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
French---French-Crampon-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
French---French-Crampon-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
French---French-Crampon-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
French---French-Crampon-Bible	UNPRINTABLE	Source	count	0	NOTICE
French---French-Crampon-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
French---French-Crampon-Bible	UNICODE	Summary	(-)Orginal	104	NOTICE
French---French-Crampon-Bible	UNICODE	Summary	(+)Aionian	104	NOTICE
French---French-Crampon-Bible	UNICODE	Source(-)	Basic Latin : ([)	115	NOTICE
French---French-Crampon-Bible	UNICODE	Source(-)	Basic Latin : ( )	921304	NOTICE
French---French-Crampon-Bible	UNICODE	Source(-)	Basic Latin : (T)	3735	NOTICE
French---French-Crampon-Bible	UNICODE	Source(-)	Basic Latin : (e)	565919	NOTICE
French---French-Crampon-Bible	UNICODE	Source(-)	Basic Latin : (s)	340281	NOTICE
French---French-Crampon-Bible	UNICODE	Source(-)	Basic Latin : (t)	260855	NOTICE
French---French-Crampon-Bible	UNICODE	Source(-)	Basic Latin : (a)	303806	NOTICE
French---French-Crampon-Bible	UNICODE	Source(-)	Basic Latin : (m)	106396	NOTICE
French---French-Crampon-Bible	UNICODE	Source(-)	Basic Latin : (n)	247228	NOTICE
French---French-Crampon-Bible	UNICODE	Source(-)	Basic Latin : (1)	31678	NOTICE
