# File Name: Holy-Bible---Holy-Bible---Romani-Vlax---Chergash-Luke---Analysis.txt
# File Size: 24693       
# File Date: 12/13/2025 05:55:25
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Romani Čergarsko čhib Srbija
# Bible Name English: Chergash Bible
# Bible Language: Chergash Romani
# Bible Language English: Romani Vlax, Chergash
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: Pioneers.org
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=rmyChergash
# Bible Source Year: 2018
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Romani-Vlax---Chergash-Luke	ENCODING	Source	Holy-Bible---Romani-Vlax---Chergash-Luke---Source-Edition.VPL.txt	UTF-8	NOTICE
Romani-Vlax---Chergash-Luke	ENCODING	Aionian	Holy-Bible---Romani-Vlax---Chergash-Luke---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Romani-Vlax---Chergash-Luke	BYTES	Source	bytes / chars	1098348 / 1054064 (multi-byte)	NOTICE
Romani-Vlax---Chergash-Luke	BYTES	Aionian	bytes / chars	1157043 / 1112604 (multi-byte)	NOTICE
Romani-Vlax---Chergash-Luke	BYTES	SourceClean	bytes / chars	1097518 / 1053234 (multi-byte)	NOTICE
Romani-Vlax---Chergash-Luke	BYTES	AionianClean	bytes / chars	1154771 / 1110357 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Romani-Vlax---Chergash-Luke	AIONIAN	Aionian	book-not-exist	0	NOTICE
Romani-Vlax---Chergash-Luke	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Romani-Vlax---Chergash-Luke	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Romani-Vlax---Chergash-Luke	AIONIAN	Aionian	missing-chapter	0	NOTICE
Romani-Vlax---Chergash-Luke	AIONIAN	Aionian	missing-verse	0	NOTICE
Romani-Vlax---Chergash-Luke	AIONIAN	Aionian	aionian-verses	200	NOTICE
Romani-Vlax---Chergash-Luke	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Romani-Vlax---Chergash-Luke	UNPRINTABLE	Source	count	0	NOTICE
Romani-Vlax---Chergash-Luke	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Romani-Vlax---Chergash-Luke	UNICODE	Summary	(-)Orginal	48	NOTICE
Romani-Vlax---Chergash-Luke	UNICODE	Summary	(+)Aionian	53	NOTICE
Romani-Vlax---Chergash-Luke	UNICODE	Source(-)	Basic Latin : (M)	3217	NOTICE
Romani-Vlax---Chergash-Luke	UNICODE	Source(-)	Basic Latin : (A)	6922	NOTICE
Romani-Vlax---Chergash-Luke	UNICODE	Source(-)	Basic Latin : (T)	3472	NOTICE
Romani-Vlax---Chergash-Luke	UNICODE	Source(-)	Basic Latin : ( )	179229	NOTICE
Romani-Vlax---Chergash-Luke	UNICODE	Source(-)	Basic Latin : (1)	8054	NOTICE
Romani-Vlax---Chergash-Luke	UNICODE	Source(-)	Basic Latin : (:)	10470	NOTICE
Romani-Vlax---Chergash-Luke	UNICODE	Source(-)	Basic Latin : (k)	24301	NOTICE
