# File Name: Holy-Bible---Holy-Bible---English---Text-Critical---Analysis.txt
# File Size: 24069       
# File Date: 06/19/2025 05:13:42
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Boyd Text-Critical English NT
# Bible Name English: Boyd Text-Critical English NT
# Bible Language: English
# Bible Language English: English
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: Robert Adam Boyd
# Bible Source Version: 6/13/2025
# Bible Source Link: https://ebible.org/details.php?id=engtcent
# Bible Source Year: 2022
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
English---Text-Critical	ENCODING	Source	Holy-Bible---English---Text-Critical---Source-Edition.VPL.txt	UTF-8	NOTICE
English---Text-Critical	ENCODING	Aionian	Holy-Bible---English---Text-Critical---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
English---Text-Critical	BYTES	Source	bytes / chars	1036120 / 1024598 (multi-byte)	NOTICE
English---Text-Critical	BYTES	Aionian	bytes / chars	1094616 / 1083050 (multi-byte)	NOTICE
English---Text-Critical	BYTES	SourceClean	bytes / chars	1035304 / 1023782 (multi-byte)	NOTICE
English---Text-Critical	BYTES	AionianClean	bytes / chars	1092434 / 1080868 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
English---Text-Critical	AIONIAN	Aionian	book-not-exist	0	NOTICE
English---Text-Critical	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
English---Text-Critical	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
English---Text-Critical	AIONIAN	Aionian	missing-chapter	0	NOTICE
English---Text-Critical	AIONIAN	Aionian	missing-verse	0	NOTICE
English---Text-Critical	AIONIAN	Aionian	aionian-verses	200	NOTICE
English---Text-Critical	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
English---Text-Critical	UNPRINTABLE	Source	count	0	NOTICE
English---Text-Critical	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
English---Text-Critical	UNICODE	Summary	(-)Orginal	46	NOTICE
English---Text-Critical	UNICODE	Summary	(+)Aionian	49	NOTICE
English---Text-Critical	UNICODE	Source(-)	Basic Latin : (M)	2861	NOTICE
English---Text-Critical	UNICODE	Source(-)	Basic Latin : (A)	4565	NOTICE
English---Text-Critical	UNICODE	Source(-)	Basic Latin : (T)	4785	NOTICE
English---Text-Critical	UNICODE	Source(-)	Basic Latin : ( )	189387	NOTICE
English---Text-Critical	UNICODE	Source(-)	Basic Latin : (1)	8046	NOTICE
English---Text-Critical	UNICODE	Source(-)	Basic Latin : (:)	8225	NOTICE
English---Text-Critical	UNICODE	Source(-)	Basic Latin : (h)	52276	NOTICE
English---Text-Critical	UNICODE	Source(-)	Basic Latin : (e)	94287	NOTICE
English---Text-Critical	UNICODE	Source(-)	Basic Latin : (b)	10665	NOTICE
English---Text-Critical	UNICODE	Source(-)	Basic Latin : (o)	62843	NOTICE
English---Text-Critical	UNICODE	Source(-)	Basic Latin : (k)	4593	NOTICE
English---Text-Critical	UNICODE	Source(-)	Basic Latin : (t)	64171	NOTICE
English---Text-Critical	UNICODE	Source(-)	Basic Latin : (g)	13077	NOTICE
