# File Name: Holy-Bible---Holy-Bible---French---Free-for-the-World---Analysis.txt
# File Size: 52865       
# File Date: 12/13/2025 05:27:44
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Sainte Bible Libre Pour le Monde
# Bible Name English: French Free Holy Bible for the World
# Bible Language: Français
# Bible Language English: French
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: David Williams / Michael Johnson
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=frasbl
# Bible Source Year: 2023-2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
French---Free-for-the-World	ENCODING	Source	Holy-Bible---French---Free-for-the-World---Source-Edition.VPL.txt	UTF-8	NOTICE
French---Free-for-the-World	ENCODING	Aionian	Holy-Bible---French---Free-for-the-World---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
French---Free-for-the-World	BYTES	Source	bytes / chars	5645061 / 5454599 (multi-byte)	NOTICE
French---Free-for-the-World	BYTES	Aionian	bytes / chars	4730666 / 4603567 (multi-byte)	NOTICE
French---Free-for-the-World	BYTES	SourceClean	bytes / chars	5644260 / 5453798 (multi-byte)	NOTICE
French---Free-for-the-World	BYTES	AionianClean	bytes / chars	4727141 / 4600065 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
French---Free-for-the-World	AIONIAN	Aionian	book-not-exist	0	NOTICE
French---Free-for-the-World	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
French---Free-for-the-World	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
French---Free-for-the-World	AIONIAN	Aionian	missing-chapter	0	NOTICE
French---Free-for-the-World	AIONIAN	Aionian	missing-verse	0	NOTICE
French---Free-for-the-World	AIONIAN	Aionian	aionian-verses	264	NOTICE
French---Free-for-the-World	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
French---Free-for-the-World	UNPRINTABLE	Source	count	0	NOTICE
French---Free-for-the-World	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
French---Free-for-the-World	UNICODE	Summary	(-)Orginal	99	NOTICE
French---Free-for-the-World	UNICODE	Summary	(+)Aionian	97	NOTICE
French---Free-for-the-World	UNICODE	Source(-)	Basic Latin : (G)	4340	NOTICE
French---Free-for-the-World	UNICODE	Source(-)	Basic Latin : (E)	16435	NOTICE
French---Free-for-the-World	UNICODE	Source(-)	Basic Latin : (N)	7267	NOTICE
French---Free-for-the-World	UNICODE	Source(-)	Basic Latin : ( )	935828	NOTICE
French---Free-for-the-World	UNICODE	Source(-)	Basic Latin : (1)	37713	NOTICE
French---Free-for-the-World	UNICODE	Source(-)	Basic Latin : (:)	46977	NOTICE
French---Free-for-the-World	UNICODE	Source(-)	Basic Latin : (A)	18786	NOTICE
French---Free-for-the-World	UNICODE	Source(-)	Basic Latin : (u)	244620	NOTICE
French---Free-for-the-World	UNICODE	Source(-)	Basic Latin : (c)	102858	NOTICE
French---Free-for-the-World	UNICODE	Source(-)	Basic Latin : (o)	209799	NOTICE
French---Free-for-the-World	UNICODE	Source(-)	Basic Latin : (m)	105558	NOTICE
