# File Name: Holy-Bible---Holy-Bible---Greek---Greek-Majority-Text---Analysis.txt
# File Size: 25749       
# File Date: 04/18/2023 14:17:40
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2023
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: H Καινή Διαθήκη
# Bible Name English: Greek Majority Text NT
# Bible Language: Ελληνική
# Bible Language English: Greek, Koine
# Bible Copyright Format: CC Attribution NoDerivatives 4.0, 2018-2023
# Bible Copyright Text: Public Domain
# Bible Source: Maurice A. Robinson and William G. Pierpont
# Bible Source Version: 3/3/2023
# Bible Source Link: https://ebible.org/details.php?id=grcmt
# Bible Source Year: 2000
# Bible Description: Accent and breathing marks are omitted
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Greek---Greek-Majority-Text	ENCODING	Source	Holy-Bible---Greek---Greek-Majority-Text---Source-Edition.VPL.txt	UTF-8	NOTICE
Greek---Greek-Majority-Text	ENCODING	Aionian	Holy-Bible---Greek---Greek-Majority-Text---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Greek---Greek-Majority-Text	BYTES	Source	bytes / chars	1595633 / 905097 (multi-byte)	NOTICE
Greek---Greek-Majority-Text	BYTES	Aionian	bytes / chars	1654272 / 963211 (multi-byte)	NOTICE
Greek---Greek-Majority-Text	BYTES	SourceClean	bytes / chars	1594925 / 904389 (multi-byte)	NOTICE
Greek---Greek-Majority-Text	BYTES	AionianClean	bytes / chars	1651572 / 960849 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 263
Greek---Greek-Majority-Text	AIONIAN	Aionian	book-not-exist	0	NOTICE
Greek---Greek-Majority-Text	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Greek---Greek-Majority-Text	AIONIAN	Aionian	book-defined-not-exist	63	NOTICE
Greek---Greek-Majority-Text	AIONIAN	Aionian	missing-chapter	0	NOTICE
Greek---Greek-Majority-Text	AIONIAN	Aionian	missing-verse	0	NOTICE
Greek---Greek-Majority-Text	AIONIAN	Aionian	aionian-verses	200	NOTICE
Greek---Greek-Majority-Text	AIONIAN	Aionian	tested-verses	263	NOTICE

# UNPRINTABLE
Greek---Greek-Majority-Text	UNPRINTABLE	Source	count	0	NOTICE
Greek---Greek-Majority-Text	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Greek---Greek-Majority-Text	UNICODE	Summary	(-)Orginal	33	NOTICE
Greek---Greek-Majority-Text	UNICODE	Summary	(+)Aionian	56	NOTICE
Greek---Greek-Majority-Text	UNICODE	Source(-)	Basic Latin : (M)	2320	NOTICE
Greek---Greek-Majority-Text	UNICODE	Source(-)	Basic Latin : (A)	3025	NOTICE
Greek---Greek-Majority-Text	UNICODE	Source(-)	Basic Latin : (T)	2504	NOTICE
Greek---Greek-Majority-Text	UNICODE	Source(-)	Basic Latin : ( )	148233	NOTICE
Greek---Greek-Majority-Text	UNICODE	Source(-)	Basic Latin : (1)	8083	NOTICE
Greek---Greek-Majority-Text	UNICODE	Source(-)	Basic Latin : (:)	7963	NOTICE
Greek---Greek-Majority-Text	UNICODE	Source(-)	Basic Latin : (\n)	7957	NOTICE
Greek---Greek-Majority-Text	UNICODE	Source(-)	Basic Latin : (2)	5206	NOTICE
