# File Name: Holy-Bible---Holy-Bible---Slovene---Slovene-Savli-Bible---Analysis.txt
# File Size: 50479       
# File Date: 12/10/2023 21:12:39
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2023
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Slovenščina Sveto pismo Kralja Jakoba
# Bible Name English: Slovene King James Bible 1769
# Bible Language: Slovenščina
# Bible Language English: Slovene
# Bible Copyright Format: CC Attribution NoDerivatives NonCommercial 4.0, 2018-2023
# Bible Copyright Text: CC Attribution NoDerivatives Noncommercial 4.0
# Bible Source: Marjan Šavli and Barbara Hojkar Šavli, marjan.savli@gmail.com
# Bible Source Version: 4/7/2023
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=SloKJV
# Bible Source Year: 1769
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Slovene---Slovene-Savli-Bible	ENCODING	Source	Holy-Bible---Slovene---Slovene-Savli-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
Slovene---Slovene-Savli-Bible	ENCODING	Aionian	Holy-Bible---Slovene---Slovene-Savli-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Slovene---Slovene-Savli-Bible	BYTES	Source	bytes / chars	5800360 / 5666008 (multi-byte)	NOTICE
Slovene---Slovene-Savli-Bible	BYTES	Aionian	bytes / chars	4419742 / 4290135 (multi-byte)	NOTICE
Slovene---Slovene-Savli-Bible	BYTES	SourceClean	bytes / chars	4368336 / 4237833 (multi-byte)	NOTICE
Slovene---Slovene-Savli-Bible	BYTES	AionianClean	bytes / chars	4416133 / 4286542 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 263
Slovene---Slovene-Savli-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Slovene---Slovene-Savli-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Slovene---Slovene-Savli-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Slovene---Slovene-Savli-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Slovene---Slovene-Savli-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Slovene---Slovene-Savli-Bible	AIONIAN	Aionian	aionian-verses	265	NOTICE
Slovene---Slovene-Savli-Bible	AIONIAN	Aionian	tested-verses	265	ERROR

# UNPRINTABLE
Slovene---Slovene-Savli-Bible	UNPRINTABLE	Source	count	0	NOTICE
Slovene---Slovene-Savli-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Slovene---Slovene-Savli-Bible	UNICODE	Summary	(-)Orginal	89	NOTICE
Slovene---Slovene-Savli-Bible	UNICODE	Summary	(+)Aionian	70	NOTICE
Slovene---Slovene-Savli-Bible	UNICODE	Source(-)	Basic Latin : ([)	879	NOTICE
Slovene---Slovene-Savli-Bible	UNICODE	Source(-)	Basic Latin : ( )	706971	NOTICE
Slovene---Slovene-Savli-Bible	UNICODE	Source(-)	Basic Latin : (T)	6867	NOTICE
Slovene---Slovene-Savli-Bible	UNICODE	Source(-)	Basic Latin : (e)	336984	NOTICE
Slovene---Slovene-Savli-Bible	UNICODE	Source(-)	Basic Latin : (s)	167062	NOTICE
